Arroz,130,2.7,0.3,28.2
Ajo,124,6,0.1,26.3
Alcachofa,17,1.4,0.2,2.3
Apio,22,2.3,0.2,2.4
Berenjena,16,1.1,0.1,2.6
Berro,13.2,2.4,0.2,1.6
Brécol,31,3.3,0.2,4
Calabacín,12,1.3,0.1,1.4
Calabaza,18,1.1,0.1,3.5
Cardo,10,0.6,0.1,1.7
Cebolla,24,1,0,5.2
Col lombarda,20,1.9,0.2,3.4
Coles de Bruselas,31,4.2,0.5,4.3
Coliflor,25,3.2,0.2,2.7
Espárrago,27,3.6,0.2,2.9
Espinaca,31,3.4,0.7,3
Guisantes frescos,70,7,0.2,10.6
Haba fresca,52,4.1,0.8,7.7
Hinojo,16,0.5,0.3,3.2
Lechuga,19,1.8,0.4,2.2
Nabo,16,1,0,3.3
Papa,80,2.1,1,18
Pepino,10.4,0.7,0.1,2
Puerro,26,2.1,0.1,6
Remolacha,42,1.5,0.1,8.2
Repollo,19,2.1,0.1,2.5
Seta,,4.6,0.4,5.2
Tomate,16,1,0.2,2.9
Trufa,30,6,0.5,0.7
Zanahoria,37,1,0.2,7.8
Bistec de ternera,92,20.7,1,0.5
Buey semi graso,160,0,0,0
Cabrito,127,19.2,17,0.7
Cerdo carne magra,146,19.9,6.8,0
Cerdo carne grasa,398,14.5,37.3,0
Ciervo,120,20.3,3.7,0.6
Codorniz,162,25,6.8,0
Conejo,138,21.2,6.6,0
Cordero Lechal,105,21,2.4,0
Cordero (Pierna),98,17.1,3.3,0
Hígado de cerdo,141,22.8,4.8,1.5
Higado de vacuno,129,21,4.4,0.9
Lacón,361,19.2,31.6,0
Liebre,126,22.8,3.2,0
Pato,288,15.9,24.9,0
Pavo pechuga,134,22,4.9,0.4
Pavo muslo,186,20.9,11.2,0.4
Perdiz,120,25,1.4,0.5
Pollo muslo,130,19.6,5.7,0
Pollo pechuga,108,22.4,2.1,0
Almeja,73,10.2,2.5,2.2
Anguila,264,11.8,23.7,0.1
Arenque,174,17.7,11.5,0
Atún fresco,158,21.5,8,0
Bacalao,122,29,0.7,0
Boquerón,96,16.8,2.6,1.5
Caballa,170,17,11.1,0
Calamar,68,12.6,1.7,0.7
Dorada,80,19.8,1.2,0
Gallo,78,16.2,0.9,1.2
Gamba,65,13.6,0.6,2.9
Langosta,88,16.2,1.9,1
Lenguado,82,16.9,1.7,0.8
Lubina,82,16.6,1.5,0.6
Lucio,81,18,0.6,0
Mejillones,66,11.7,2.7,3.4
Merluza,71,17,0.3,0
Mero,80,17.9,0.7,0.6
Pez espada,109,16.9,4.2,1
Pulpo,57,10.6,1,1.4
Rodaballo,81,16.3,1.3,1.2
Salmón,176,18.4,12,0
Salmonete,123,15.8,6.2,1.1
Sardina,124,15,4.4,1
Sepia,73,14,1.5,0.7
Trucha,96,0,0,0
Huevo entero (100 gr),156,13,11.1,0
Huevo entero pequeño (50 gr),78,0,0,0
Yema (17 gr),55,0,0,0
Clara (33 gr),16,0,0,0
Alubia (judía seca),316,23,1.3,61
Garbanzo,338,21.8,4.9,54.3
Guisantes secos,304,21.7,2,53.6
Haba seca,304,27,2.4,46.5
Lenteja,325,25,2.5,54
Arroz,362,7,0.6,87.6
Cebada,373,10.4,1.4,82.3
Centeno,350,9.4,1,76
Copos de Maiz,372,7.6,1,85.2
Harina Integral,321,11,1.9,69.7
Galleta tipo María,409,6.8,8.1,82.3
Harina,345,11,0.7,73.6
Maiz,363,9.2,3.8,73
Pan blanco,270,8.1,0.5,64
Pan integral,230,9,1,47.5
Pan tostado,420,11.3,6,83
Pasta al huevo,368,19,0.2,73.4
Pasta de semola,336,13,0.3,78.6
Polenta (harina de maiz),358,8.7,2.7,79.8
Semola,361,11.5,0.5,77.6
Tapioca,363,0.6,0.2,86.4
Trigo duro,361,13,2.9,70.8
Aceite de oliva,900,0,100,0
Aceite de semillas,900,0,100,0
Mantequilla,750,0.6,83,0.3
Manteca de cerdo,891,0.3,82.8,0.2
Margarina,747,0,99,0.3
Leche entera,63,3.2,3.7,4.6
Leche semidesnatada,49,3.5,1.8,5
Leche desnatada,33,3.4,0.2,4.7
Yogur entero,61,3.3,3.5,4
Yogur desnatado,36,3.3,0.9,4
Yogur con frutas,89,2.8,3.3,12.6
Nata,337,2.3,35,3.4
Brie,263,17,21,1.67
Camembert,301,20.5,25.7,0.9
Cheddar,381,25,31,0.5
Edam,306,26,22,1
Emmental,404,28.5,30.6,3.6
Gruyère,393,29,30,1.5
Mozzarella,245,19.9,16.1,4.9
Parmesano,374,36,25.6,0
Queso de Oveja,380,28.2,29.5,0
Requesón,96,13.6,4,1.4
Roquefort,413,23,35,2
Chocolate,564,8.9,37.9,50.8
Miel,300,0.6,0,80
Aguacate,232,1.9,23.5,3.2
Albaricoque,52,0.4,0.1,12.5
Arandano,41,0.6,0.4,10.1
Cereza,48,0.8,0.1,11.7
Ciruela,36,0.5,0.1,8.9
Frambuesa,30,1,0.6,5.6
Fresa,27,0.9,0.4,5.6
Granada,62,0.5,0.1,15.9
Grosella,37,0.9,0.6,8.3
Higo fresco,47,0.9,0.2,11.2
Limón,14,0.6,0,3.2
Mandarina,41,0.7,0.4,9.1
Mango,73,0.7,0.4,16.8
Manzana,45,0.2,0.3,10.4
Melocotón,30,0.8,0.1,6.9
Melón,30,0.8,0.2,7.4
Mora,35,1,0.6,6.5
Naranja,53,1,0.2,11.7
Níspero,28,0.4,0.4,6.1
Piña,55,0.5,0.2,12.7
Pera,38,0.7,0.1,2
Plátano,85,1.2,0.3,19.5
Pomelo,26,0.6,0,6.2
Sandía,15,0.7,0,3.7
Uva,61,0.5,0.1,15.6
Almendra,499,16,51.4,4
Avellana,625,13,62.9,1.8
Cacahuete,452,20.4,25.6,35
Castaña,349,4.7,3,89
Ciruela pasa,177,2.2,0.5,43.7
Dátil seco,256,2.7,0.6,63.1
Higo seco,270,3.5,2.7,66.6
Nuez,670,15.6,63.3,11.2
Piñón,568,29.6,47.8,5
Pistacho,607,21.3,45.9,22
Uva Pasa,301,1.9,0.6,72
Platano Frito,252,1.47,13.27,36.07
Platano,89,1.09,0.33,22.84
Yuca Cocida,173,1.34,2.04,37.46
Arepa,330,8.19,2.18,67.87